citation_type,court_code,CountryId,CourtId,CourtName,country,country1_spa,country2_spa,country3_spa_official,country_adj_spa,country_adj_spa2,court_eng1,court_eng2,court_loc1,court_loc2,court_spa1,court_spa2
1,9,53,158,Other court,Dominican Republic,República Dominicana,,República Dominicana,dominicana,,Other or unspecified court,,,,,
1,1,54,159,Constitutional Court,Ecuador,Ecuador,,República del Ecuador,ecuatoriana,,Constitutional Court,,Corte Constitucional,,Corte Constitucional,
1,2,54,160,National Court of Justice,Ecuador,Ecuador,,República del Ecuador,ecuatoriana,,National Court of Justice,,Corte Nacional de Justicia,,Corte Nacional de Justicia,Corte Suprema de Justicia
1,9,54,161,Other court,Ecuador,Ecuador,,República del Ecuador,ecuatoriana,,Other or unspecified court,,,,,
1,1,55,162,Supreme Constitutional Court,Egypt,Egipto,,República Árabe de Egipto,egipcia,,Supreme Constitutional Court,,Mahkramat al-Naqd,,Corte Suprema Constitucional,
1,2,55,163,Court of Cassation,Egypt,Egipto,,República Árabe de Egipto,egipcia,,Court of Cassation,,Madjmu at al-kawa id al-kanuniya allati karraratha mahkamat an-nakd,,Corte de Casación,
1,9,55,164,Other court,Egypt,Egipto,,República Árabe de Egipto,egipcia,,Other or unspecified court,,,,,
1,1,56,165,Supreme Court of Justice,El Salvador,El Salvador,,República de El Salvador,salvadoreña,,Supreme Court of Justice,,Corte Suprema de Justicia,,Corte Suprema de Justicia,
1,9,56,166,Other court,El Salvador,El Salvador,,República de El Salvador,salvadoreña,,Other or unspecified court,,,,,
1,1,57,167,Supreme Tribunal,Equatorial Guinea,Guinea Ecuatorial,,República de Guinea Ecuatorial,ecuatoguineana,,Supreme Tribunal,,,,Corte Suprema,Tribunal Supremo
1,9,57,168,Other court,Equatorial Guinea,Guinea Ecuatorial,,República de Guinea Ecuatorial,ecuatoguineana,,Other or unspecified court,,,,,
1,1,58,169,High Court,Eritrea,Eritrea,,Estado de Eritrea,eritrea,,High Court,,,,Alta Corte ,
1,9,58,170,Other court,Eritrea,Eritrea,,Estado de Eritrea,eritrea,,Other or unspecified court,,,,,
1,1,59,171,Supreme Court,Estonia,Estonia,,República de Estonia,estonia,,Supreme Court,,Riigikohus,,Corte Suprema,Tribunal Supremo
1,9,59,172,Other court,Estonia,Estonia,,República de Estonia,estonia,,Other or unspecified court,,,,,
